crop,country,year,import_quantity_global
Purging croton,World,2012,0.626115048
Purging croton,World,2013,0.762972483
Quinces,World,2010,0.852265462
Quinces,World,2011,0.770578016
Quinces,World,2012,0.744759243
Quinces,World,2013,0.736803365
Radish,World,2010,0.895657491
Radish,World,2011,0.906042737
Radish,World,2012,0.908840472
Radish,World,2013,0.914025747
Rambutan,World,2010,0.943405233
Rambutan,World,2011,0.93756689
Rambutan,World,2012,0.96756037
Rambutan,World,2013,0.979872532
Rapeseed and Mustards,World,2010,0.889236858
Rapeseed and Mustards,World,2011,0.916187114
Rapeseed and Mustards,World,2012,0.932156642
Rapeseed and Mustards,World,2013,0.918708939
Rhubarb,World,2010,0.816279831
Rhubarb,World,2011,0.830095672
Rhubarb,World,2012,0.854031259
Rhubarb,World,2013,0.879355153
Rice (African),World,2010,0.834434124
Rice (African),World,2011,0.812467352
Rice (African),World,2012,0.80144556
Rice (African),World,2013,0.805129409
Rice (Asian),World,2010,0.760758193
Rice (Asian),World,2011,0.739679592
Rice (Asian),World,2012,0.729861535
Rice (Asian),World,2013,0.769325977
Rice bean,World,2010,0.819858335
Rice bean,World,2011,0.79759833
Rice bean,World,2012,0.772208594
Rice bean,World,2013,0.74268969
"Rubber, natural",World,2010,0.970481386
"Rubber, natural",World,2011,0.975312953
"Rubber, natural",World,2012,0.978564376
"Rubber, natural",World,2013,0.977202361
Runner bean,World,2010,0.944688837
Runner bean,World,2011,0.94506714
Runner bean,World,2012,0.923834532
Runner bean,World,2013,0.951370809
Rye,World,2010,0.988322581
Rye,World,2011,0.983748377
Rye,World,2012,0.986985017
Rye,World,2013,0.986693455
Safflower,World,2010,0.999292055
Safflower,World,2011,0.991974671
Safflower,World,2012,0.984066969
Safflower,World,2013,0.987169321
Saffron,World,2010,0.924467883
Saffron,World,2011,0.916075685
Saffron,World,2012,0.900099505
Saffron,World,2013,0.906483338
Sago palm,World,2010,0.785018102
Sago palm,World,2011,0.784271626
Sago palm,World,2012,0.830169811
Sago palm,World,2013,0.862352747
Salsify,World,2010,0.906900846
Salsify,World,2011,0.914591485
Salsify,World,2012,0.912175309
Salsify,World,2013,0.915787753
Sapodilla,World,2010,0.998433834
Sapodilla,World,2011,0.998517925
Sapodilla,World,2012,0.998723226
Sapodilla,World,2013,0.998715792
Savory,World,2010,0.895657491
Savory,World,2011,0.906042737
Savory,World,2012,0.908840472
Savory,World,2013,0.914025747
Service tree,World,2010,0.810262249
Service tree,World,2011,0.82927945
Service tree,World,2012,0.884325157
Service tree,World,2013,0.881529306
Sesame,World,2010,0.846482875
Sesame,World,2011,0.844162349
Sesame,World,2012,0.847495127
Sesame,World,2013,0.832710215
Shala tree,World,2010,0.958757984
Shala tree,World,2011,0.917848781
Shala tree,World,2012,0.899264133
Shala tree,World,2013,0.90987594
Sorghum,World,2010,0.868044961
Sorghum,World,2011,0.920034498
Sorghum,World,2012,0.906361691
Sorghum,World,2013,0.894783363
Sorrel,World,2010,0.543222909
Sorrel,World,2011,0.545678323
Sorrel,World,2012,0.577445808
Sorrel,World,2013,0.582765943
Soursop,World,2010,0.998433834
Soursop,World,2011,0.998517925
Soursop,World,2012,0.998723226
Soursop,World,2013,0.998715792
Soybeans,World,2010,0.479794015
Soybeans,World,2011,0.49237795
Soybeans,World,2012,0.461155595
Soybeans,World,2013,0.450708493
Spinach,World,2010,0.99246141
Spinach,World,2011,0.993243243
Spinach,World,2012,0.964025709
Spinach,World,2013,0.95608606
Strawberries,World,2010,0.764394122
Strawberries,World,2011,0.743138081
Strawberries,World,2012,0.735715057
Strawberries,World,2013,0.738662819
Strawberry tree,World,2010,0.882694733
Strawberry tree,World,2011,0.89235247
Strawberry tree,World,2012,0.908763325
Strawberry tree,World,2013,0.910529647
Sugar apple,World,2010,0.998433834
Sugar apple,World,2011,0.998517925
Sugar apple,World,2012,0.998723226
Sugar apple,World,2013,0.998715792
Sugar beets,World,2010,0.0158589
Sugar beets,World,2011,0.18558445
Sugar beets,World,2012,0.300240482
Sugar beets,World,2013,0.126874958
Sunflowers,World,2010,0.99380306
Sunflowers,World,2011,0.993367845
Sunflowers,World,2012,0.993937611
Sunflowers,World,2013,0.995172852
Sweetpotatoes,World,2010,0.989651439
Sweetpotatoes,World,2011,0.989517023
Sweetpotatoes,World,2012,0.989884221
Sweetpotatoes,World,2013,0.988390319
Tallowtree,World,2010,0.673805862
Tallowtree,World,2011,0.646249102
Tallowtree,World,2012,0.636957735
