crop,country,year,fs_fat_supply_quantity,fs_food_supply_kcal,fs_food_supply_quantity_g,fs_protein_supply_quantity
Snake plant,World,2019,NA,NA,NA,NA
Sorghum,World,2019,0.045699733,0.048216554,0.047332218,0.047939657
Sorrel,World,2019,0.243010327,0.251526951,0.246304579,0.247968789
Soursop,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Soybeans,World,2019,0.17409918,0.178744097,0.181831776,0.075998759
Spinach,World,2019,0.25753499,0.266539057,0.260799333,0.262798383
Strawberries,World,2019,0.20071228,0.275404733,0.274725924,0.270305079
Strawberry tree,World,2019,0.191492959,0.263038628,0.262713728,0.258211489
Sugar apple,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Sugar beets,World,2019,NA,0.005357143,0.005828225,0.005411255
Sugarcane,World,2019,0.028488116,0.042185162,0.042735132,0.039953985
Sunflowers,World,2019,0.134866716,0.135178425,0.1383017,0.057058252
Sunn hemp,World,2019,NA,NA,NA,NA
Sweetpotatoes,World,2019,0.064133987,0.069655916,0.071566586,0.066868497
Sword bean,World,2019,0.146990253,0.149505294,0.150449197,0.150394717
Tallowtree,World,2019,NA,NA,NA,NA
Tamarind,World,2019,0.191492959,0.263038628,0.262713728,0.258211489
Taro,World,2019,0.049356384,0.056074028,0.058068011,0.053835226
Tarragon,World,2019,0.243010327,0.251526951,0.246304579,0.247968789
Tea,World,2019,NA,0.111534147,0.154331056,0.149012761
Teff,World,2019,0.030251535,0.030902044,0.029602955,0.032398934
Tepary bean,World,2019,0.12797708,0.127111925,0.12729026,0.12682916
Thyme,World,2019,0.151251545,0.152977838,0.156441019,0.1579976
Tobacco,World,2019,NA,NA,NA,NA
Tomatoes,World,2019,0.192748796,0.197436262,0.188810452,0.192067433
Triticale,World,2019,0.097635845,0.105703189,0.10971368,0.107144186
Tung nuts,World,2019,0.052843587,0.05459653,0.059876939,0.055280295
Turmeric,World,2019,0.151251545,0.152977838,0.156441019,0.1579976
Turnips,World,2019,0.256920348,0.265902926,0.2601769,0.262171179
Ulluco,World,2019,0.045695982,0.051830804,0.053645829,0.049791602
Vanilla,World,2019,0.152381577,0.15499538,0.158356186,0.159729654
Velvet bean,World,2019,0.146990253,0.149505294,0.150449197,0.150394717
Velvet leaf,World,2019,NA,NA,NA,NA
Vetch,World,2019,0.150646727,0.153224331,0.154205053,0.154151649
Walnuts,World,2019,0.174742039,0.179754157,0.177704879,0.175174199
Watercress,World,2019,0.243010327,0.251526951,0.246304579,0.247968789
Watermelons,World,2019,0.197891967,0.271534877,0.270865607,0.266506881
Wheat,World,2019,0.233690628,0.25737191,0.256847892,0.25251445
Wildrice,World,2019,0.097302145,0.104646392,0.108623725,0.106142402
Winged bean,World,2019,0.146990253,0.149505294,0.150449197,0.150394717
Yams,World,2019,0.037321393,0.039183996,0.039889599,0.039338738
"Yautia, cocoyam",World,2019,0.050531536,0.057409124,0.059450583,0.055117018
Year bean,World,2019,0.12797708,0.127111925,0.12729026,0.12682916
Zucchini,World,2019,0.253293237,0.262149002,0.256503815,0.258469939
