"use","taxon"
"1","×Armenoprunus dasycarpa (Ehrh.) Janchen"
"2","Acacia senegal (L.) Willd."
"2","Albizia amara (Roxb.) Boiv."
"2","Amygdalus communis subsp. communis"
"2","Aniba rosaeodora Ducke"
"2","Annona cherimola Mill."
"2","Armeniaca vulgaris Lam."
"2","Artocarpus lakoochus Roxb."
"2","Ceratonia siliqua L."
"2","Ceratostigma plumbaginoides Bunge"
"2","Cinnamomum cassia Presl, , p.p."
"2","Cinnamomum verum J.S. Presl"
"2","Cryptocarya fusca Gillespie"
"2","Dioscoreophyllum cumminsii (Stapf) Diels"
"2","Ecklonia cava Kjellm."
"2","Enteromorpha compressa (L.) Grev."
"2","Enteromorpha flexuosa (Wulf.) J. Agardh"
"2","Enteromorpha intestinalis (L.) Link"
"2","Enteromorpha Link"
"2","Enteromorpha prolifera (Muell.) J. Agardh"
"2","Gelidium amansii (J.V. Lamour.) J.V. Lamour."
"2","Glycine max (L.) Merr."
"2","Gracilaria compressa (C. Agardh) Grev."
"2","Gracilaria edulis (S.G. Gmel.) Silva"
"2","Gracilaria Grev."
"2","Gracilaria verrucosa (Huds.) Papenfuss"
"2","Macrocystis pyrifera (L.) C. Agardh"
"2","Medicago sativa subsp. sativa"
"2","Michelia alba DC."
"2","Michelia figo (Lour.) Spr."
"2","Padus avium Mill."
"2","Piper nigrum L."
"2","Polygonum bistorta L."
"2","Ribes americanum Mill."
"2","Rosa acicularis Lindl."
"2","Rosa beggeriana Schrenk ex Fisch. & Mey."
"2","Rosa californica Chamisso & Schltdl."
"2","Rosa canina L."
"2","Rosa damascena Mill."
"2","Rosa gallica L."
"2","Rosa L."
"2","Rosa majalis Herrm."
"2","Rosa ×centifolia L."
"2","Rumex abyssinicus Jacq."
"2","Sorbus torminalis (L.) Crantz"
"2","Spirulina P.J.F. Turpin ex Gomont"
"2","Spirulina platensis (Nordst.) Geitler"
"2","Tamarindus indica L."
"2","Torreya nucifera (L.) Siebold & Zucc."
"2","Urtica dioica L."
